Episode,Reward,Epsilon,Avg Reward
0,-0.5995,0.9961659999999843,[-0.5995]
1,-0.5995,0.993132999999972,[-0.5995]
2,-0.5995,0.9891909999999559,[-0.5995]
3,2.4004999999999668,0.9851319999999393,[0.15049999999999164]
4,-0.5995,0.9812259999999233,[0.0004999999999933058]
5,-0.5995,0.9786609999999129,[-0.09950000000000558]
6,-0.5995,0.9748989999998975,[-0.17092857142857623]
7,-0.5995,0.9704529999998793,[-0.22450000000000417]
8,0.40050000000001096,0.9665109999998632,[-0.15505555555555806]
9,-0.5995,0.964260999999854,[-0.19950000000000223]
10,1.3005000000000109,0.9593379999998339,[-0.06313636363636467]
11,-0.5995,0.9566019999998228,[-0.1078333333333343]
12,-0.5995,0.9510489999998001,[-0.14565384615384705]
13,-0.5995,0.9479799999997875,[-0.17807142857142938]
14,-0.5995,0.9444519999997731,[-0.20616666666666741]
15,-0.5995,0.9412929999997602,[-0.23075000000000073]
16,-0.5995,0.9378549999997462,[-0.25244117647058895]
17,0.40050000000001096,0.9334809999997283,[-0.21616666666666673]
18,-0.5995,0.9297639999997132,[-0.23634210526315794]
19,0.40050000000001096,0.9247149999996925,[-0.20449999999999952]
20,0.4030000000000107,0.9209529999996772,[-0.1755714285714276]
21,-0.5995,0.9184149999996668,[-0.19484090909090818]
22,0.40050000000001096,0.9133569999996461,[-0.1689565217391291]
23,-0.5995,0.9102249999996334,[-0.186895833333332]
24,1.400500000000011,0.905481999999614,[-0.12339999999999829]
25,-0.5995,0.9019449999995995,[-0.1417115384615368]
26,0.40050000000001096,0.8992089999995884,[-0.12162962962962764]
27,-0.5995,0.8967609999995784,[-0.13869642857142667]
28,0.40050000000001096,0.891540999999557,[-0.12010344827585985]
29,-0.5995,0.8890299999995468,[-0.1360833333333312]
30,0.40050000000001096,0.8826309999995207,[-0.11877419354838467]
31,-0.5995,0.8775279999994998,[-0.13379687499999762]
32,-0.5995,0.8744499999994872,[-0.1479090909090886]
33,0.40050000000001096,0.8705799999994714,[-0.1317794117647033]
34,-0.5995,0.8671059999994573,[-0.14514285714285466]
35,-0.5995,0.8638389999994439,[-0.15776388888888648]
36,-0.5995,0.8610759999994326,[-0.16970270270270035]
37,1.3010000000000106,0.8569269999994157,[-0.13099999999999742]
38,-0.5995,0.8536779999994024,[-0.143012820512818]
39,-0.5995,0.8502219999993883,[-0.15442499999999756]
40,-0.5995,0.8461989999993719,[-0.16528048780487567]
41,0.40050000000001096,0.841581999999353,[-0.15180952380952123]
42,1.3010000000000084,0.8355339999993283,[-0.11802325581395079]
43,-0.5995,0.8326359999993165,[-0.12896590909090644]
44,1.3010000000000106,0.8273529999992949,[-0.09718888888888606]
45,-0.5995,0.8235009999992792,[-0.10810869565217116]
46,-0.5995,0.8200899999992652,[-0.11856382978723133]
47,-0.5995,0.8163729999992501,[-0.1285833333333307]
48,-0.5995,0.8138349999992397,[-0.1381938775510178]
49,-0.5995,0.8103159999992253,[-0.14741999999999744]
50,-0.5995,0.8062299999992086,[-0.1562843137254877]
51,-0.5995,0.8035749999991978,[-0.16480769230768985]
52,-0.5995,0.8002719999991843,[-0.17300943396226176]
53,-0.5995,0.7963479999991683,[-0.18090740740740507]
54,-0.5995,0.7937199999991575,[-0.18851818181817953]
55,0.40050000000001096,0.7910559999991467,[-0.17799999999999752]
56,-0.5995,0.7883109999991355,[-0.18539473684210284]
57,-0.5995,0.7836939999991166,[-0.19253448275861834]
58,-0.5995,0.7802649999991026,[-0.1994322033898282]
59,-0.5995,0.777438999999091,[-0.20609999999999776]
60,-0.5995,0.7736229999990755,[-0.21254918032786665]
61,-0.5995,0.7706709999990634,[-0.21879032258064302]
62,-0.5995,0.7669539999990482,[-0.22483333333333122]
63,-0.5995,0.7639929999990361,[-0.23068749999999782]
64,-0.5995,0.761031999999024,[-0.23636153846153632]
65,-0.5995,0.7583769999990132,[-0.24186363636363428]
66,-0.5995,0.7551729999990001,[-0.24720149253731136]
67,-0.5995,0.7525089999989892,[-0.2523823529411744]
68,-0.5995,0.7487919999989741,[-0.25741304347825883]
69,-0.5995,0.7461009999989631,[-0.262299999999998]
70,-0.5995,0.7434279999989521,[-0.26704929577464587]
71,-0.5995,0.7403409999989395,[-0.2716666666666647]
72,1.3005000000000109,0.7356519999989204,[-0.2501301369862993]
73,-0.5995,0.7324839999989075,[-0.2548513513513493]
74,-0.5995,0.7294779999988952,[-0.25944666666666466]
75,-0.5995,0.726993999998885,[-0.26392105263157695]
76,-0.5995,0.7232409999988697,[-0.2682792207792188]
77,-0.5995,0.7202439999988575,[-0.27252564102563903]
78,1.400500000000011,0.717201999998845,[-0.2513481012658207]
79,-0.5995,0.7140699999988322,[-0.255699999999998]
80,-1.5395,0.7058439999987987,[-0.2715493827160474]
81,-0.5995,0.7016409999987815,[-0.2755487804878029]
82,-0.5995,0.6976269999987651,[-0.2794518072289137]
83,-0.5995,0.6950709999987547,[-0.2832619047619028]
84,-0.5995,0.6914169999987397,[-0.2869823529411745]
85,-0.5995,0.6871959999987225,[-0.2906162790697655]
