Episode,Reward,Epsilon,Avg Reward
0,-0.15300000000000014,0.9970209999999878,[-0.15300000000000014]
1,-0.6990000000000002,0.9937539999999745,[-0.42600000000000016]
2,0.3009999999999998,0.9898299999999585,[-0.18366666666666684]
3,-0.6990000000000002,0.9849159999999384,[-0.31250000000000017]
4,-0.6990000000000002,0.9820719999999268,[-0.38980000000000015]
5,0.8010000000000157,0.9774009999999077,[-0.19133333333333083]
6,-0.6990000000000002,0.9750879999998983,[-0.26385714285714074]
7,1.8020000000000214,0.9710199999998816,[-0.0056249999999955225]
8,0.3009999999999998,0.9683829999998709,[0.028444444444448404]
9,1.8030000000000181,0.9630549999998491,[0.20590000000000538]
10,-0.6990000000000002,0.9597879999998358,[0.12363636363636851]
11,0.3009999999999998,0.9557649999998193,[0.1384166666666711]
12,-0.6990000000000002,0.9525969999998064,[0.07400000000000409]
13,-0.6990000000000002,0.9491859999997925,[0.01878571428571807]
14,-0.6990000000000002,0.9465039999997815,[-0.029066666666663146]
15,-0.6990000000000002,0.9442089999997721,[-0.0709374999999967]
16,0.3009999999999998,0.9415629999997613,[-0.049058823529408664]
17,-0.6990000000000002,0.9388089999997501,[-0.08516666666666375]
18,-0.6990000000000002,0.9358659999997381,[-0.11747368421052357]
19,2.301000000000022,0.9299169999997138,[0.0034500000000037057]
20,-0.6990000000000002,0.9262449999996988,[-0.02999999999999648]
21,-0.6990000000000002,0.9214299999996791,[-0.060409090909087554]
22,-0.6990000000000002,0.9173439999996624,[-0.08817391304347506]
23,-0.6990000000000002,0.912105999999641,[-0.11362499999999694]
24,-0.6990000000000002,0.9096849999996311,[-0.13703999999999708]
25,-0.6990000000000002,0.9058059999996153,[-0.15865384615384334]
26,0.3009999999999998,0.902538999999602,[-0.14162962962962694]
27,-0.6990000000000002,0.8997939999995908,[-0.1615357142857117]
28,-0.6990000000000002,0.8970579999995796,[-0.1800689655172389]
29,-0.6990000000000002,0.8930439999995632,[-0.19736666666666425]
30,1.801000000000022,0.8882379999995436,[-0.13290322580644856]
31,-0.6990000000000002,0.885168999999531,[-0.15059374999999703]
32,0.3009999999999998,0.8816679999995167,[-0.136909090909088]
33,-0.6990000000000002,0.8780049999995018,[-0.15344117647058542]
34,-0.6990000000000002,0.8750439999994897,[-0.1690285714285687]
35,1.301000000000022,0.8718399999994766,[-0.1281944444444412]
36,-0.6990000000000002,0.8694459999994668,[-0.14362162162161846]
37,-0.6990000000000002,0.8645139999994467,[-0.15823684210526007]
38,-0.6990000000000002,0.8622369999994374,[-0.17210256410256108]
39,0.3009999999999998,0.8592309999994251,[-0.16027499999999711]
40,1.301000000000022,0.8538759999994032,[-0.12463414634146007]
41,0.3009999999999998,0.8497539999993864,[-0.11449999999999673]
42,0.3009999999999998,0.8471259999993757,[-0.10483720930232238]
43,0.3009999999999998,0.8431479999993594,[-0.09561363636363324]
44,-0.6990000000000002,0.839367999999344,[-0.10902222222221916]
