Episode,Reward,Epsilon,Avg Reward
0,-0.1899999999999995,0.9926199999999972,[-0.1899999999999995]
1,0.06000000000000072,0.9829899999999935,[-0.06499999999999939]
2,0.06000000000000072,0.9733599999999898,[-0.02333333333333269]
3,-0.3199999999999996,0.9671499999999874,[-0.09749999999999942]
4,0.42000000000000104,0.9542799999999825,[0.0060000000000006715]
5,1.1299999999999986,0.9350199999999751,[0.19333333333333366]
6,1.109999999999999,0.9159399999999678,[0.3242857142857144]
7,1.199999999999997,0.8960499999999602,[0.43374999999999975]
8,1.1499999999999981,0.8766099999999527,[0.5133333333333329]
9,-0.3099999999999996,0.8703099999999503,[0.4309999999999996]
10,0.7800000000000014,0.8541999999999441,[0.4627272727272725]
11,-0.46999999999999975,0.8493399999999423,[0.3849999999999998]
12,-0.5599999999999998,0.8452899999999407,[0.3123076923076921]
13,-0.6799999999999999,0.8423199999999396,[0.2414285714285713]
14,-0.04999999999999938,0.8336799999999362,[0.22199999999999992]
15,-0.1999999999999995,0.8263899999999335,[0.19562499999999994]
16,-0.35999999999999965,0.8205399999999312,[0.1629411764705882]
17,-0.14999999999999947,0.8127999999999282,[0.14555555555555555]
18,0.6300000000000012,0.7980399999999226,[0.17105263157894743]
19,0.6800000000000013,0.7828299999999168,[0.19650000000000012]
20,0.2600000000000009,0.7713999999999124,[0.19952380952380966]
21,-0.46999999999999975,0.7665399999999105,[0.16909090909090924]
22,0.10000000000000075,0.7565499999999067,[0.1660869565217393]
23,0.0400000000000007,0.7470999999999031,[0.16083333333333355]
24,0.4900000000000011,0.7335999999998979,[0.17400000000000027]
25,-0.24999999999999956,0.7267599999998953,[0.15769230769230796]
26,0.33000000000000096,0.7146999999998906,[0.16407407407407437]
27,-0.1999999999999995,0.7074099999998879,[0.15107142857142888]
28,-0.04999999999999938,0.6987699999998845,[0.14413793103448305]
29,-0.37999999999999967,0.6930999999998824,[0.12666666666666695]
30,-0.47999999999999976,0.6883299999998805,[0.10709677419354868]
31,0.1400000000000008,0.6779799999998766,[0.10812500000000033]
32,-0.6799999999999999,0.6750099999998754,[0.08424242424242458]
