Episode,Reward,Epsilon,Avg Reward
0,-0.6990000000000002,0.9805150000000166,[-0.6990000000000002]
1,-0.6990000000000002,0.9648550000000299,[-0.6990000000000002]
2,-0.42200000000000015,0.9438850000000477,[-0.6066666666666668]
3,-0.6990000000000002,0.9217900000000665,[-0.6297500000000001]
4,-0.6990000000000002,0.9051850000000806,[-0.6436000000000002]
5,-0.6990000000000002,0.8885350000000948,[-0.6528333333333335]
6,-0.6990000000000002,0.8704000000001102,[-0.6594285714285716]
7,0.8010000000000219,0.8534350000001246,[-0.47687499999999744]
8,-0.6990000000000002,0.841285000000135,[-0.5015555555555533]
9,-1.1820000000000002,0.8291800000001452,[-0.569599999999998]
10,-0.6990000000000002,0.8164450000001561,[-0.5813636363636345]
11,0.05099999999999982,0.78836500000018,[-0.528666666666665]
12,-0.6990000000000002,0.755380000000208,[-0.5417692307692292]
13,-0.6990000000000002,0.7381450000002227,[-0.5529999999999985]
14,-0.6990000000000002,0.7132150000002438,[-0.562733333333332]
15,-0.6990000000000002,0.6981850000002566,[-0.5712499999999988]
16,0.051999999999999824,0.6853150000002676,[-0.5345882352941166]
17,0.05099999999999982,0.6648850000002849,[-0.5020555555555545]
18,-0.6990000000000002,0.6465700000003005,[-0.512421052631578]
19,-0.6990000000000002,0.6265900000003175,[-0.521749999999999]
20,0.05099999999999982,0.603685000000337,[-0.49447619047618957]
21,-0.6990000000000002,0.5896450000003489,[-0.5037727272727264]
22,-0.6990000000000002,0.5747950000003615,[-0.5122608695652165]
23,-0.6990000000000002,0.554320000000379,[-0.5200416666666658]
24,-0.6990000000000002,0.5400100000003911,[-0.5271999999999992]
25,0.05099999999999982,0.5225950000004059,[-0.5049615384615377]
26,-0.6990000000000002,0.5078800000004184,[-0.5121481481481474]
27,-0.6990000000000002,0.4960450000004236,[-0.5188214285714279]
28,-0.6990000000000002,0.47782000000041663,[-0.52503448275862]
29,0.8010000000000219,0.4489750000004056,[-0.48083333333333195]
30,0.05099999999999982,0.4208950000003948,[-0.46367741935483736]
31,-0.6990000000000002,0.4054150000003889,[-0.4710312499999988]
32,-0.6990000000000002,0.38840500000038236,[-0.4779393939393928]
33,-0.6990000000000002,0.37346500000037663,[-0.4844411764705871]
34,-0.6990000000000002,0.3462400000003662,[-0.4905714285714275]
35,-0.6990000000000002,0.3141550000003539,[-0.49636111111111014]
36,-0.6990000000000002,0.29944000000034826,[-0.5018378378378369]
37,-0.6990000000000002,0.2849500000003427,[-0.5070263157894729]
38,-0.6990000000000002,0.2690200000003366,[-0.5119487179487171]
39,-0.6990000000000002,0.2502100000003294,[-0.5166249999999991]
40,-0.6990000000000002,0.23563000000033268,[-0.5210731707317064]
41,-0.6990000000000002,0.21236500000033812,[-0.525309523809523]
42,0.05099999999999982,0.1764100000003465,[-0.5119069767441853]
43,-0.6990000000000002,0.1605700000003502,[-0.5161590909090902]
44,-0.6990000000000002,0.14450500000035396,[-0.5202222222222216]
45,0.05099999999999982,0.12061000000035818,[-0.5078043478260864]
46,-0.6990000000000002,0.10774000000035722,[-0.5118723404255314]
47,-0.6990000000000002,0.1,[-0.5157708333333326]
48,0.05099999999999982,0.1,[-0.5042040816326524]
49,0.05099999999999982,0.1,[-0.49309999999999937]
50,0.05099999999999982,0.1,[-0.482431372549019]
51,-0.6990000000000002,0.1,[-0.4865961538461533]
52,-0.6990000000000002,0.1,[-0.49060377358490515]
53,-0.6990000000000002,0.1,[-0.4944629629629625]
54,0.8010000000000219,0.1,[-0.47090909090909006]
55,-0.6990000000000002,0.1,[-0.4749821428571419]
56,-0.6990000000000002,0.1,[-0.47891228070175346]
57,-0.6990000000000002,0.1,[-0.4827068965517233]
58,-0.6990000000000002,0.1,[-0.4863728813559314]
59,-0.6990000000000002,0.1,[-0.4899166666666659]
60,-0.6990000000000002,0.1,[-0.4933442622950812]
61,-0.6990000000000002,0.1,[-0.49666129032257994]
62,-0.6990000000000002,0.1,[-0.4998730158730152]
63,-0.6990000000000002,0.1,[-0.5029843749999992]
64,0.8010000000000219,0.1,[-0.48292307692307573]
65,-0.6990000000000002,0.1,[-0.4861969696969685]
66,-0.6990000000000002,0.1,[-0.489373134328357]
67,-0.6990000000000002,0.1,[-0.49245588235293997]
68,0.05099999999999982,0.1,[-0.4845797101449263]
69,-0.6990000000000002,0.1,[-0.4876428571428559]
70,-0.6990000000000002,0.1,[-0.4906197183098579]
71,0.05099999999999982,0.1,[-0.4830972222222212]
72,-0.6990000000000002,0.1,[-0.48605479452054684]
73,-0.6990000000000002,0.1,[-0.48893243243243134]
74,-0.6990000000000002,0.1,[-0.49173333333333225]
75,-0.6990000000000002,0.1,[-0.49446052631578835]
76,-0.6990000000000002,0.1,[-0.497116883116882]
77,0.05099999999999982,0.1,[-0.49008974358974244]
78,-0.6990000000000002,0.1,[-0.49273417721518875]
79,-0.6990000000000002,0.1,[-0.49531249999999905]
80,-0.6990000000000002,0.1,[-0.4978271604938262]
81,-0.6990000000000002,0.1,[-0.500280487804877]
82,-0.6990000000000002,0.1,[-0.5026746987951797]
83,1.551000000000022,0.1,[-0.4782261904761892]
84,-0.6990000000000002,0.1,[-0.48082352941176343]
85,-0.6990000000000002,0.1,[-0.4833604651162778]
86,-0.6990000000000002,0.1,[-0.4858390804597688]
87,-0.6990000000000002,0.1,[-0.48826136363636247]
88,-0.6990000000000002,0.1,[-0.4906292134831449]
89,-0.6990000000000002,0.1,[-0.4929444444444433]
90,-0.6990000000000002,0.1,[-0.49520879120879]
91,-0.6990000000000002,0.1,[-0.4974239130434771]
92,-0.6990000000000002,0.1,[-0.49959139784946116]
93,0.8010000000000219,0.1,[-0.48575531914893477]
94,-0.6990000000000002,0.1,[-0.48799999999999855]
95,-0.6990000000000002,0.1,[-0.4901979166666654]
96,-0.6990000000000002,0.1,[-0.4923505154639162]
97,0.05099999999999982,0.1,[-0.4868061224489783]
98,-0.6990000000000002,0.1,[-0.48894949494949363]
99,-0.6990000000000002,0.1,[-0.4910499999999987]
100,-0.6990000000000002,0.1,[-0.49310891089108777]
101,-0.6990000000000002,0.1,[-0.49310891089108777]
102,-0.6990000000000002,0.1,[-0.4931089108910879]
103,-0.6990000000000002,0.1,[-0.49585148514851357]
104,-0.6990000000000002,0.1,[-0.49585148514851357]
105,-0.6990000000000002,0.1,[-0.49585148514851357]
106,0.05099999999999982,0.1,[-0.48842574257425614]
107,-0.6990000000000002,0.1,[-0.4884257425742562]
108,-0.6990000000000002,0.1,[-0.5032772277227712]
109,-0.6990000000000002,0.1,[-0.5032772277227712]
110,0.05099999999999982,0.1,[-0.49106930693069195]
111,-0.6990000000000002,0.1,[-0.491069306930692]
112,-0.6990000000000002,0.1,[-0.4984950495049494]
113,0.05099999999999982,0.1,[-0.49106930693069195]
114,0.05099999999999982,0.1,[-0.4836435643564345]
115,-0.6990000000000002,0.1,[-0.4836435643564345]
116,-0.6990000000000002,0.1,[-0.4836435643564345]
117,-0.6990000000000002,0.1,[-0.491079207920791]
118,-0.6990000000000002,0.1,[-0.49850495049504834]
119,-0.6990000000000002,0.1,[-0.49850495049504834]
120,-0.6990000000000002,0.1,[-0.49850495049504834]
121,-0.6990000000000002,0.1,[-0.5059306930693058]
122,-0.6990000000000002,0.1,[-0.5059306930693058]
123,0.051999999999999824,0.1,[-0.4984950495049494]
124,-0.6990000000000002,0.1,[-0.49849504950494944]
125,-0.6990000000000002,0.1,[-0.49849504950494944]
126,-0.6990000000000002,0.1,[-0.5059207920792068]
127,-0.6990000000000002,0.1,[-0.5059207920792068]
128,-0.6990000000000002,0.1,[-0.5059207920792068]
129,-0.6990000000000002,0.1,[-0.5059207920792068]
130,0.05099999999999982,0.1,[-0.5133465346534645]
